Item,Location,Date,target,p5,p20,p40,p50,p60,p80,p95,mape,mase,rmsle,smape
Hamburg,Europe,2022-04-10,5.914285714285714,2.996528719629618,7.574209061585755,8.834622917637367,9.760277042422736,9.968154377937362,12.223664088614372,15.94056654909868,68.15929219851172,1.024783561993345,,42.47185550239024
Paris,Europe,2022-04-10,8.857142857142858,7.1484211277982315,7.6037090620545955,11.569893686775485,13.171604851090962,14.4555840312874,15.832562532907327,18.610034334949134,42.23038549966915,1.253369996985593,0.3770497974366254,35.43976280807558
Madrid,Europe,2022-04-10,11.171428571428573,8.454237984722015,9.534545159063939,13.102727589160738,15.219092144702998,16.185145805805277,16.772274625843274,20.09160061181857,32.01063276231957,1.1197478053414622,0.29330226356895167,27.992620932060632
Roma,Europe,2022-04-10,11.471428571428572,10.673769202073409,12.015181805102657,14.191997052076642,14.631158804381602,16.798037280259997,20.94297448712198,24.053501070539333,27.597308556915962,1.304127681267342,0.2565216969957479,22.86418132649586
Reykjavic,Europe,2022-04-10,0.21428571428571422,-0.0769553978926074,1.815689612035283,3.685602359340965,4.069921061928625,5.30751103213406,7.455387501267575,9.473584004875804,857.6414326856662,1.3607683011229434,,103.26017317353427
Dublin,Europe,2022-04-10,7.071428571428571,5.109590852483089,6.867394793903673,8.553873058966657,8.836166778016093,9.163755833002057,12.147688435405744,18.53053384164927,24.462432725627256,0.9109513258482699,0.25785989036074697,23.259694527968534
Sydney,Oceania,2022-04-10,20.185714285714287,14.462275510657,16.835845940551575,18.28424963306332,19.33747626798094,20.52924967232714,21.814984541619545,24.43420824737118,5.117583465772755,0.7253386799373702,0.060257491412952335,5.128948621412729
Cape Town,Africa,2022-04-10,17.014285714285712,12.617990327409638,14.443332211686613,16.925586651489688,18.108458833888065,18.778733754347517,20.210210392736997,22.87751179883618,8.637974429898826,1.4832168501152034,0.10085089288566611,9.098222627908731
Shanghai,Asia,2022-04-17,16.54285714285714,10.858992718365803,12.85404207041932,15.54473616616415,17.80012550251875,19.146137909872657,25.64480534033764,26.718559237813686,75.35847329476847,2.43002263039625,0.5483844142130639,46.99217514244242
Singapore,Asia,2022-04-17,28.099999999999998,26.2809041915999,27.44543420911029,27.902065020307546,28.09991353300877,28.238747600273406,28.622209733703375,29.212116496471502,1.1858726718695123,0.5698445499774697,0.01662224629502008,1.1728316343385745
Busan,Asia,2022-04-17,14.0,3.0885743421843483,11.554716086699049,13.23566266342828,15.333739640516438,16.287909658092303,20.234083843731668,27.655771454830465,35.60095669328137,0.8072864993586911,0.30551534884452125,26.055356120144925
Qingdao,Asia,2022-04-17,13.200000000000001,5.0009234173442865,6.038992135655135,11.931250398605036,14.618117707421597,18.234107347014508,23.608350532553988,33.741384128491205,214.8609801086058,1.1222692628880397,,67.65254221632125
Kuala,Asia,2022-04-17,28.142857142857142,26.427600810963636,26.970409360667766,27.70934432876842,28.003662426836925,28.092991692084432,28.524294675504898,29.191723437947466,1.7460181553516914,0.8698285230897196,0.020641928638329,1.7474303285649573
Yakarta,Asia,2022-04-17,29.728571428571428,27.539679301689983,28.069704063133774,28.531324428589347,28.9800097710942,29.222851822891307,29.659533418336522,30.203537474384238,1.391910825601984,0.8002997811950672,0.01613080754431414,1.3891097937662336
Beijing,Asia,2022-04-17,15.228571428571428,3.7993580346245035,9.67443617099405,13.168925709975694,13.809900965708138,14.585496724949227,20.465376673702064,44.627141677158576,81.74649590098761,1.3593447272380648,,101.77909236902718
Tokyo,Asia,2022-04-17,15.385714285714286,11.885372249760696,14.471910333595051,15.008259856304027,16.628721437921463,17.328852899044477,18.40784128885477,20.90110102389851,25.387014496186485,0.8909685122250378,0.24185671146554377,20.496497281687475
Delhi,Asia,2022-04-17,31.3,13.222476929832077,20.364541226769948,24.44857309917867,25.251839509533443,25.95895784097219,28.994471091848112,35.471598983210455,23.26096217586634,2.5698146662254806,0.22823246975787925,21.236782902386643
Dubai,Asia,2022-04-17,31.942857142857143,24.03111171652601,26.568338753739813,28.6869203172244,29.65647130193898,31.223539492767152,34.28437841350676,36.165880851949034,7.5293847177816575,1.3865952522388703,0.07954709406093058,7.317826188738473
Miami,America,2022-04-17,28.728571428571428,26.168128063323305,28.777449927591107,30.068366326002952,30.202658072210728,30.375312314483566,31.820431720264956,33.72913005103431,4.512262318632158,0.9655757857924542,0.05404807702241978,4.401935944098071
New york,America,2022-04-17,17.442857142857143,6.0659739295077735,12.764161979764003,15.575616981015209,16.142765995088084,16.938426727244998,19.55470636191405,24.033575264042298,74.33138834909853,1.0296735465548907,0.4469162777763521,34.840311794892294
New orleans,America,2022-04-17,27.057142857142857,20.95251782096973,23.67067782838964,25.67124050205695,26.004114276168252,28.7668284817423,30.60046464804143,35.43779119533446,11.43760824922676,0.9844143784610764,0.13910524584613976,10.946423012787783
Bahamas,America,2022-04-17,24.728571428571428,23.16753918010122,24.5886811497552,25.49534827022572,25.860259771572867,26.435453477815592,28.869527790236468,30.16965939411405,4.20467402059399,1.106172531122266,0.04949795210664056,4.109560516448052
